moisture,temperature,pH,timestamp
61,21,5,2024-10-14 11:03:35+00:00
67,22,5,2024-10-14 11:03:48+00:00
64,21,5,2024-10-14 11:04:01+00:00
61,21,5,2024-10-14 11:04:14+00:00
62,21,5,2024-10-14 11:04:28+00:00
63,21,5,2024-10-14 11:04:41+00:00
64,21,5,2024-10-14 11:04:54+00:00
61,21,5,2024-10-14 11:05:07+00:00
59,21,5,2024-10-14 11:05:20+00:00
61,21,5,2024-10-14 11:05:33+00:00
63,21,5,2024-10-14 11:05:47+00:00
59,21,5,2024-10-14 11:06:00+00:00
64,22,5,2024-10-14 11:06:13+00:00
67,21,5,2024-10-14 11:06:26+00:00
62,21,5,2024-10-14 11:06:39+00:00
59,21,5,2024-10-14 11:06:53+00:00
63,21,5,2024-10-14 11:07:06+00:00
64,21,5,2024-10-14 11:07:19+00:00
63,21,5,2024-10-14 11:07:32+00:00
61,21,5,2024-10-14 11:07:45+00:00
59,21,5,2024-10-14 11:07:58+00:00
60,21,5,2024-10-14 11:08:12+00:00
63,21,5,2024-10-14 11:08:25+00:00
61,21,5,2024-10-14 11:08:38+00:00
59,22,5,2024-10-14 11:08:51+00:00
61,22,5,2024-10-14 11:09:04+00:00
63,21,5,2024-10-14 11:09:17+00:00
63,21,5,2024-10-14 11:09:31+00:00
63,21,5,2024-10-14 11:09:44+00:00
64,21,5,2024-10-14 11:09:57+00:00
64,21,5,2024-10-14 11:10:10+00:00
61,21,5,2024-10-14 11:10:23+00:00
61,21,5,2024-10-14 11:10:36+00:00
63,21,5,2024-10-14 11:10:50+00:00
63,21,5,2024-10-14 11:11:03+00:00
67,22,4,2024-10-14 11:11:16+00:00
64,22,4,2024-10-14 11:11:29+00:00
63,22,5,2024-10-14 11:11:42+00:00
64,22,5,2024-10-14 11:11:55+00:00
63,22,5,2024-10-14 11:12:09+00:00
61,22,5,2024-10-14 11:12:22+00:00
63,22,4,2024-10-14 11:12:35+00:00
59,22,5,2024-10-14 11:12:48+00:00
66,22,5,2024-10-14 11:13:01+00:00
61,22,5,2024-10-14 11:13:14+00:00
61,22,5,2024-10-14 11:13:28+00:00
64,22,5,2024-10-14 11:13:41+00:00
65,22,5,2024-10-14 11:13:54+00:00
64,22,4,2024-10-14 11:14:07+00:00
59,22,4,2024-10-14 11:14:20+00:00
63,22,4,2024-10-14 11:14:34+00:00
64,22,4,2024-10-14 11:14:47+00:00
61,22,4,2024-10-14 11:15:00+00:00
61,21,4,2024-10-14 11:15:13+00:00
65,22,4,2024-10-14 11:15:26+00:00
61,22,5,2024-10-14 11:15:39+00:00
65,22,4,2024-10-14 11:15:53+00:00
60,22,4,2024-10-14 11:16:06+00:00
60,22,4,2024-10-14 11:16:19+00:00
59,22,5,2024-10-14 11:16:32+00:00
61,22,5,2024-10-14 11:16:45+00:00
59,22,5,2024-10-14 11:16:58+00:00
65,22,4,2024-10-14 11:17:12+00:00
59,22,4,2024-10-14 11:17:25+00:00
61,22,4,2024-10-14 11:17:38+00:00
63,22,4,2024-10-14 11:17:51+00:00
59,22,4,2024-10-14 11:18:04+00:00
64,22,5,2024-10-14 11:18:17+00:00
59,22,4,2024-10-14 11:18:30+00:00
59,22,4,2024-10-14 11:18:44+00:00
64,22,4,2024-10-14 11:18:57+00:00
59,22,5,2024-10-14 11:19:10+00:00
50,21,8,2024-10-14 11:19:23+00:00
51,21,7,2024-10-14 11:19:36+00:00
48,21,7,2024-10-14 11:19:50+00:00
51,21,6,2024-10-14 11:20:03+00:00
50,21,6,2024-10-14 11:20:16+00:00
47,21,6,2024-10-14 11:20:29+00:00
48,21,6,2024-10-14 11:20:42+00:00
50,21,6,2024-10-14 11:20:55+00:00
48,21,6,2024-10-14 11:21:09+00:00
47,21,6,2024-10-14 11:21:22+00:00
51,21,6,2024-10-14 11:21:35+00:00
47,21,6,2024-10-14 11:21:48+00:00
47,21,6,2024-10-14 11:22:01+00:00
51,21,6,2024-10-14 11:22:14+00:00
50,21,6,2024-10-14 11:22:28+00:00
47,21,6,2024-10-14 11:22:41+00:00
47,21,6,2024-10-14 11:22:54+00:00
51,21,6,2024-10-14 11:23:07+00:00
47,21,6,2024-10-14 11:23:20+00:00
47,21,7,2024-10-14 11:23:33+00:00
47,21,7,2024-10-14 11:23:47+00:00
49,21,7,2024-10-14 11:24:00+00:00
46,21,7,2024-10-14 11:24:13+00:00
46,21,7,2024-10-14 11:24:26+00:00
49,21,7,2024-10-14 11:24:39+00:00
50,21,7,2024-10-14 11:24:52+00:00
51,21,7,2024-10-14 11:25:06+00:00
47,21,7,2024-10-14 11:25:19+00:00
49,21,7,2024-10-14 11:25:32+00:00
47,21,7,2024-10-14 11:25:45+00:00
47,21,7,2024-10-14 11:25:58+00:00
50,21,7,2024-10-14 11:26:11+00:00
46,21,7,2024-10-14 11:26:25+00:00
48,21,7,2024-10-14 11:26:38+00:00
47,21,7,2024-10-14 11:26:51+00:00
47,21,7,2024-10-14 11:27:04+00:00
48,21,7,2024-10-14 11:27:17+00:00
47,21,7,2024-10-14 11:27:30+00:00
47,21,7,2024-10-14 11:27:44+00:00
47,21,7,2024-10-14 11:27:57+00:00
49,21,7,2024-10-14 11:28:10+00:00
49,21,7,2024-10-14 11:28:23+00:00
46,21,7,2024-10-14 11:28:36+00:00
46,21,7,2024-10-14 11:28:50+00:00
49,21,7,2024-10-14 11:29:03+00:00
52,21,7,2024-10-14 11:29:16+00:00
50,21,7,2024-10-14 11:29:29+00:00
48,21,7,2024-10-14 11:29:42+00:00
46,21,7,2024-10-14 11:29:55+00:00
46,21,7,2024-10-14 11:30:09+00:00
52,21,7,2024-10-14 11:30:22+00:00
46,21,7,2024-10-14 11:30:35+00:00
46,21,7,2024-10-14 11:30:48+00:00
46,21,7,2024-10-14 11:31:01+00:00
46,21,7,2024-10-14 11:31:14+00:00
47,21,7,2024-10-14 11:31:28+00:00
47,21,7,2024-10-14 11:31:41+00:00
50,21,7,2024-10-14 11:31:54+00:00
46,21,7,2024-10-14 11:32:07+00:00
50,21,7,2024-10-14 11:32:20+00:00
47,21,7,2024-10-14 11:32:33+00:00
47,21,7,2024-10-14 11:32:47+00:00
46,21,7,2024-10-14 11:33:00+00:00
50,21,7,2024-10-14 11:33:13+00:00
50,21,7,2024-10-14 11:33:26+00:00
46,21,7,2024-10-14 11:33:39+00:00
46,21,7,2024-10-14 11:33:53+00:00
46,21,7,2024-10-14 11:34:06+00:00
50,21,7,2024-10-14 11:34:19+00:00
46,21,7,2024-10-14 11:34:32+00:00
47,21,7,2024-10-14 11:34:45+00:00
51,21,7,2024-10-14 11:34:58+00:00
49,21,7,2024-10-14 11:35:12+00:00
52,21,7,2024-10-14 11:35:25+00:00
48,21,7,2024-10-14 11:35:38+00:00
50,21,7,2024-10-14 11:35:51+00:00
50,21,7,2024-10-14 11:36:04+00:00
51,21,7,2024-10-14 11:36:17+00:00
49,21,7,2024-10-14 11:36:31+00:00
47,21,7,2024-10-14 11:36:44+00:00
51,21,7,2024-10-14 11:36:57+00:00
53,21,7,2024-10-14 11:37:10+00:00
55,21,7,2024-10-14 11:37:23+00:00
55,21,7,2024-10-14 11:37:36+00:00
47,21,7,2024-10-14 11:37:50+00:00
49,21,7,2024-10-14 11:38:03+00:00
49,21,7,2024-10-14 11:38:16+00:00
48,21,6,2024-10-14 11:38:29+00:00
48,21,6,2024-10-14 11:38:42+00:00
52,21,6,2024-10-14 11:38:55+00:00
51,21,6,2024-10-14 11:39:09+00:00
47,21,6,2024-10-14 11:39:22+00:00
51,21,7,2024-10-14 11:39:35+00:00
48,21,7,2024-10-14 11:39:48+00:00
50,21,7,2024-10-14 11:40:01+00:00
50,21,7,2024-10-14 11:40:14+00:00
54,21,7,2024-10-14 11:40:28+00:00
48,21,7,2024-10-14 11:40:41+00:00
49,21,7,2024-10-14 11:40:54+00:00
48,21,7,2024-10-14 11:41:07+00:00
48,21,7,2024-10-14 11:41:20+00:00
